"Title","Release Year","Genre","Content Rating","Runtime","Critic Rating","Audience Rating","Difference"
"Agent Cody Banks","2003","Action & Adventure","PG",102,38,32,6
"Ain't Them Bodies Saints","2013","Drama","R",95,77,61,16
"Akeelah and the Bee","2006","Drama","PG",112,85,81,4
"Aladdin","2019","Action & Adventure","PG",128,57,94,-37
"Albert Nobbs","2012","Drama","R",113,56,47,9
"Alex & Emma","2003","Comedy","PG-13",96,11,41,-30
"Alex Cross","2012","Action & Adventure","PG-13",101,11,47,-36
"Alexander","2004","Action & Adventure","R",175,16,35,-19
"Ali","2001","Drama","R",158,68,65,3
"Alice Through the Looking Glass","2016","Action & Adventure","PG",113,29,48,-19
"Alien: Covenant","2017","Action & Adventure","R",122,65,55,10
"Alita: Battle Angel","2019","Action & Adventure","PG-13",122,61,92,-31
"All About Steve","2009","Comedy","PG-13",99,6,30,-24
"All Is Lost","2013","Action & Adventure","PG-13",105,94,63,31
"All The King's Men","2006","Drama","PG-13",128,11,40,-29
"All the Money in the World","2017","Drama","R",132,79,65,14
"Allied","2016","Action & Adventure","R",119,60,63,-3
"Almost Famous","2000","Comedy","R",122,89,92,-3
"Aloha","2015","Action & Adventure","PG-13",105,20,28,-8
"Alone in the Dark","2005","Action & Adventure","R",98,1,11,-10
"Along Came Polly","2004","Comedy","PG-13",90,27,47,-20
"Along Came a Spider","2001","Drama","R",104,32,53,-21
"Alpha","2018","Action & Adventure","PG-13",97,80,70,10
"Alpha Dog","2007","Drama","R",118,54,67,-13
"Alvin and the Chipmunks","2007","Animation","PG",91,28,64,-36
"Amazing Grace","2007","Drama","PG",116,67,85,-18
"Amelia","2009","Drama","PG",111,20,31,-11
"America's Sweethearts","2001","Comedy","PG-13",102,32,40,-8
"American Animals","2018","Comedy","R",116,88,81,7
"American Assassin","2017","Action & Adventure","R",111,34,60,-26
"American Dreamz","2006","Comedy","PG-13",107,38,31,7
"American Gangster","2007","Drama","R",157,80,87,-7
"American Honey","2016","Drama","R",162,79,63,16
"American Hustle","2013","Drama","R",138,92,74,18
"American Made","2017","Action & Adventure","R",115,86,78,8
"American Outlaws","2001","Action & Adventure","PG-13",93,14,68,-54
"American Pastoral","2016","Drama","R",108,23,30,-7
"American Pie 2","2001","Comedy","R",105,52,68,-16
"American Psycho","2000","Comedy","R",103,69,85,-16
"American Reunion","2012","Comedy","R",112,45,63,-18
"American Sniper","2015","Action & Adventure","R",132,72,84,-12
"American Teen","2008","Documentary","PG-13",100,70,59,11
"American Ultra","2015","Action & Adventure","R",96,43,45,-2
"American Wedding","2003","Comedy","R",97,54,63,-9
"An Inconvenient Sequel: Truth To Power","2017","Documentary","PG",100,79,50,29
"An Inconvenient Truth","2006","Documentary","PG",95,93,79,14
"An Unfinished Life","2005","Drama","PG-13",107,52,67,-15
"Anacondas: The Hunt for the Blood Orchid","2004","Action & Adventure","PG-13",96,26,27,-1
"Analyze That","2002","Comedy","R",95,27,39,-12
"Anchorman - The Legend Of Ron Burgundy","2004","Comedy","PG-13",95,67,86,-19
"Anchorman 2: The Legend Continues","2013","Comedy","PG-13",119,74,52,22
"Angel Eyes","2001","Drama","R",104,33,46,-13
"Angel Has Fallen","2019","Action & Adventure","R",121,39,93,-54
"Angels & Demons","2009","Drama","PG-13",138,37,57,-20
"Anger Management","2003","Comedy","PG-13",106,42,60,-18
"Anna and the Apocalypse","2018","Comedy","R",92,77,61,16
"Annabelle","2014","Horror","R",98,29,36,-7
"Annabelle Comes Home","2019","Horror","R",106,64,70,-6
"Annabelle: Creation","2017","Drama","R",109,71,67,4
"Annapolis","2006","Drama","PG-13",98,10,60,-50
"Annihilation","2018","Action & Adventure","R",115,88,66,22
"Anomalisa","2015","Animation","R",90,92,71,21
"Another Earth","2011","Drama","PG-13",92,66,66,0
"Another Year","2010","Comedy","PG-13",129,93,74,19
"Ant-Man","2015","Action & Adventure","PG-13",117,83,86,-3
"Ant-Man and the Wasp","2018","Action & Adventure","PG-13",118,87,75,12
"Antebellum","2020","Horror","R",106,28,56,-28
"Anthropoid","2016","Drama","R",120,66,71,-5
"Antitrust","2001","Action & Adventure","PG-13",107,24,50,-26
"Antwone Fisher","2002","Drama","PG-13",120,79,86,-7
"Anvil! The Story of Anvil","2009","Documentary","NR",85,98,91,7
"Anything Else","2003","Comedy","R",108,40,44,-4
"Apocalypto","2006","Action & Adventure","R",137,66,79,-13
"Apollo 11","2019","Documentary","G",93,99,90,9
"Appaloosa","2008","Action & Adventure","R",116,76,55,21
"Arbitrage","2012","Drama","R",100,88,62,26
"Arctic","2019","Drama","PG-13",97,90,78,12
"Are We There Yet?","2005","Action & Adventure","PG",94,12,45,-33
"Argo","2012","Drama","R",120,96,90,6
"Arrival","2016","Drama","PG-13",116,94,82,12
"Art School Confidential","2006","Comedy","R",102,36,48,-12
"Ash Is Purest White","2019","Drama","NR",141,99,69,30
"Ask the Dust","2006","Documentary","R",117,35,41,-6
"Assassin's Creed","2016","Action & Adventure","PG-13",116,18,43,-25
"Assassination Nation","2018","Drama","R",110,74,54,20
"Astro Boy (AstroBoy)","2009","Action & Adventure","PG",94,50,50,0
"At Any Price","2013","Drama","R",105,51,31,20
"At Eternity's Gate","2018","Drama","PG-13",110,79,64,15
"Atlantics","2019","Drama","NR",105,96,71,25
"Atlantis - The Lost Empire","2001","Action & Adventure","PG",95,49,53,-4
"Atomic Blonde","2017","Action & Adventure","R",115,78,64,14
"Atonement","2007","Drama","R",123,83,80,3
"Attack the Block","2011","Action & Adventure","R",88,90,75,15
"August Rush","2007","Drama","PG",113,37,82,-45
"August: Osage County","2013","Drama","R",119,67,65,2
"Austenland","2013","Comedy","PG-13",96,31,54,-23
"Austin Powers in Goldmember","2002","Comedy","PG-13",94,53,44,9
"Australia","2008","Action & Adventure","PG-13",165,55,65,-10
"Auto Focus","2002","Drama","R",104,71,61,10
"Avatar","2009","Action & Adventure","PG-13",155,82,82,0
"Avengers: Age of Ultron","2015","Action & Adventure","PG-13",141,76,83,-7
"Avengers: Endgame","2019","Action & Adventure","PG-13",181,94,90,4
"Avengers: Infinity War","2018","Action & Adventure","PG-13",149,85,91,-6
"Away From Her","2007","Drama","PG-13",109,94,81,13
"Away We Go","2009","Comedy","R",97,68,74,-6
"Baadasssss!","2003","Drama","R",108,91,84,7
"Babel","2006","Drama","R",142,69,77,-8
"Babies","2010","Documentary","PG",79,68,62,6
"Baby Driver","2017","Action & Adventure","R",113,92,86,6
"Baby Mama","2008","Comedy","PG-13",99,64,55,9
"Babylon A.D.","2008","Action & Adventure","PG-13",90,6,26,-20
"Babyteeth","2020","Comedy","NR",117,94,84,10
"Bachelorette","2012","Comedy","R",93,56,34,22
"Bad Boys II","2003","Action & Adventure","R",146,23,78,-55
"Bad Boys for Life","2020","Action & Adventure","R",124,77,96,-19
"Bad Lieutenant: Port of Call New Orleans","2009","Drama","R",121,85,57,28
"Bad Moms","2016","Comedy","R",101,58,63,-5
"Bad News Bears","2005","Comedy","PG-13",108,48,46,2
"Bad Santa","2003","Comedy","R",93,79,75,4
"Bad Santa 2","2016","Comedy","R",92,24,33,-9
"Bad Teacher","2011","Comedy","R",92,44,36,8
"Bad Words","2014","Comedy","R",85,65,61,4
"Ballistic: Ecks vs. Sever","2002","Action & Adventure","R",91,0,19,-19
"Balls of Fury","2007","Action & Adventure","PG-13",90,21,33,-12
"Bandits","2001","Comedy","PG-13",122,64,58,6
"Bandslam","2009","Comedy","PG",111,82,64,18
"Barbershop","2002","Comedy","PG-13",102,83,62,21
"Barbershop 2: Back in Business","2004","Comedy","PG-13",106,68,48,20
"Basic","2003","Action & Adventure","R",98,21,63,-42
"Basic Instinct 2","2006","Drama","R",114,6,26,-20
"Batman Begins","2005","Action & Adventure","PG-13",140,84,94,-10
"Batman v Superman: Dawn of Justice","2016","Action & Adventure","PG-13",153,28,62,-34
"Battle of the Sexes","2017","Comedy","PG-13",121,85,71,14
"Battle: Los Angeles","2011","Action & Adventure","PG-13",116,36,48,-12
"Battlefield Earth","2000","Action & Adventure","PG-13",117,3,12,-9
"Battleship","2012","Action & Adventure","PG-13",131,34,54,-20
"Baywatch","2017","Action & Adventure","R",116,17,55,-38
"Be Cool","2005","Comedy","PG-13",119,30,42,-12
"Be Kind Rewind","2008","Comedy","PG-13",101,65,56,9
"Beach Rats","2017","Drama","R",97,86,57,29
