"Title","Release Year","Genre","Content Rating","Runtime","Critic Rating","Audience Rating","Difference"
"Cold Mountain","2003","Action & Adventure","R",155,71,77,-6
"Cold Pursuit","2019","Action & Adventure","R",118,69,49,20
"Cold Souls","2009","Comedy","PG-13",101,75,54,21
"Cold in July","2014","Drama","R",109,83,67,16
"Colette","2018","Drama","R",111,87,69,18
"Collateral","2004","Action & Adventure","R",120,86,84,2
"Collateral Beauty","2016","Drama","PG-13",97,14,64,-50
"Collateral Damage","2002","Action & Adventure","R",109,19,27,-8
"Colombiana","2011","Action & Adventure","PG-13",107,28,67,-39
"Color Out of Space","2020","Horror","NR",111,86,82,4
"Colossal","2017","Comedy","R",110,81,59,22
"Compliance","2012","Drama","R",90,89,60,29
"Confessions of a Dangerous Mind","2003","Comedy","R",113,79,75,4
"Confessions of a Shopaholic","2009","Comedy","PG",105,25,49,-24
"Confidence","2003","Drama","R",98,69,70,-1
"Constantine","2005","Action & Adventure","R",120,46,72,-26
"Contagion","2011","Action & Adventure","PG-13",106,85,63,22
"Control","2007","Drama","R",121,88,89,-1
"Conviction","2010","Drama","R",106,67,70,-3
"Cop Out","2010","Comedy","R",103,19,40,-21
"Coraline","2009","Action & Adventure","PG",100,90,73,17
"Coriolanus","2011","Drama","R",122,92,58,34
"Cosmopolis","2012","Drama","R",108,65,31,34
"Country Strong","2011","Drama","PG-13",117,22,53,-31
"Couples Retreat","2009","Comedy","PG-13",114,10,39,-29
"Cowboys & Aliens","2011","Action & Adventure","PG-13",118,44,43,1
"Coyote Ugly","2000","Comedy","PG-13",100,23,71,-48
"Cradle 2 the Grave","2003","Action & Adventure","R",99,25,52,-27
"Crash","2004","Drama","R",112,74,88,-14
"Crazy Heart","2009","Drama","R",112,90,76,14
"Crazy Rich Asians","2018","Comedy","PG-13",120,91,76,15
"Crazy, Stupid, Love.","2011","Comedy","PG-13",118,79,78,1
"Creation","2010","Drama","PG-13",108,46,49,-3
"Creed","2015","Drama","PG-13",133,95,89,6
"Creed II","2018","Action & Adventure","PG-13",130,83,80,3
"Criminal","2004","Drama","R",87,69,57,12
"Crimson Peak","2015","Horror","R",119,72,55,17
"Crossing Over","2009","Drama","R",114,16,49,-33
"Crouching Tiger, Hidden Dragon","2001","Action & Adventure","PG-13",120,97,86,11
"Curious George","2006","Animation","G",87,70,69,1
"Curse of the Golden Flower","2006","Action & Adventure","R",114,65,65,0
"Cyrus","2010","Comedy","R",91,80,53,27
"Daddy Day Care","2003","Comedy","PG",92,27,48,-21
"Daddy's Home","2015","Comedy","PG-13",96,31,49,-18
"Daddy's Home 2","2017","Comedy","PG-13",98,21,50,-29
"Dallas Buyers Club","2013","Drama","R",117,93,91,2
"Damsel","2018","Comedy","R",113,67,55,12
"Damsels in Distress","2012","Comedy","PG-13",99,75,39,36
"Dan in Real Life","2007","Comedy","PG-13",98,65,69,-4
"Dancer in the Dark","2000","Drama","R",140,69,91,-22
"Danny Collins","2015","Comedy","R",106,77,73,4
"Daredevil","2003","Action & Adventure","PG-13",104,44,35,9
"Dark Blue","2003","Drama","R",113,59,52,7
"Dark Phoenix","2019","Action & Adventure","PG-13",114,22,64,-42
"Dark Shadows","2012","Drama","PG-13",112,36,46,-10
"Dark Waters","2019","Drama","PG-13",126,90,95,-5
"Darkest Hour","2017","Drama","PG-13",125,84,82,2
"Darkness Falls","2003","Horror","PG-13",85,9,34,-25
"Date Night","2010","Comedy","PG-13",88,66,55,11
"Dave Chappelle's Block Party","2006","Comedy","R",103,92,74,18
"Dawn Of The Planet Of The Apes","2014","Action & Adventure","PG-13",130,90,88,2
"Dawn of the Dead","2004","Drama","R",100,75,77,-2
"Daybreakers","2010","Action & Adventure","R",98,69,49,20
"De rouille et d'os (Rust and Bone)","2012","Drama","R",122,82,80,2
"De-Lovely","2004","Comedy","PG-13",125,48,66,-18
"Deadpool","2016","Action & Adventure","R",108,85,90,-5
"Deadpool 2","2018","Action & Adventure","R",120,83,85,-2
"Dear Frankie","2005","Drama","PG-13",105,81,90,-9
"Dear John","2010","Drama","PG-13",107,29,55,-26
"Dear White People","2014","Comedy","R",106,91,61,30
"Death Race","2008","Action & Adventure","R",105,42,60,-18
"Death Sentence","2007","Action & Adventure","R",110,20,60,-40
"Death at a Funeral","2007","Comedy","R",90,62,79,-17
"Death to Smoochy","2002","Comedy","R",109,42,66,-24
"Deepwater Horizon","2016","Action & Adventure","PG-13",107,83,82,1
"Deerskin","2020","Comedy","NR",77,87,71,16
"Defiance","2009","Drama","R",136,58,72,-14
"Definitely, Maybe","2008","Comedy","PG-13",112,70,72,-2
"Delivery Man","2013","Comedy","PG-13",105,39,47,-8
"Demolition","2016","Comedy","R",101,53,54,-1
"Den of Thieves","2018","Action & Adventure","R",140,41,62,-21
"Denial","2016","Drama","PG-13",110,82,71,11
"Despicable Me","2010","Animation","PG",95,81,82,-1
"Despicable Me 2","2013","Animation","PG",98,75,85,-10
"Despicable Me 3","2017","Animation","PG",90,58,53,5
"Detroit","2017","Drama","R",143,82,79,3
"Dheepan","2016","Drama","R",110,87,82,5
"Diana","2013","Drama","PG-13",113,8,25,-17
"Diary of a Mad Black Woman","2005","Comedy","PG-13",116,16,87,-71
"Diary of a Wimpy Kid","2010","Comedy","PG",92,54,49,5
"Diary of the Dead","2007","Horror","R",95,62,41,21
"Dickie Roberts: Former Child Star","2003","Comedy","PG-13",99,22,46,-24
"Did You Hear About the Morgans?","2009","Comedy","PG-13",103,11,27,-16
"Die Another Day","2002","Action & Adventure","PG-13",130,57,41,16
"Dinner for Schmucks","2010","Comedy","PG-13",114,42,42,0
"Dinosaur","2000","Action & Adventure","PG",82,64,48,16
"Dirty Dancing: Havana Nights","2004","Drama","PG-13",86,23,73,-50
"Dirty Grandpa","2016","Comedy","R",102,11,44,-33
"Disney's A Christmas Carol","2009","Animation","PG",95,52,58,-6
"Disobedience","2018","Drama","NR",114,84,75,9
"District 9","2009","Action & Adventure","R",111,90,82,8
"District B13 (Banlieue 13)","2006","Action & Adventure","R",85,80,78,2
"Disturbia","2007","Drama","PG-13",105,69,77,-8
"Divergent","2014","Action & Adventure","PG-13",140,41,69,-28
"Divine Secrets of the Ya-Ya Sisterhood","2002","Comedy","PG-13",116,45,65,-20
"Dixie Chicks - Shut Up and Sing","2006","Documentary","R",99,89,86,3
"Django Unchained","2012","Drama","R",165,87,91,-4
"Doctor Strange","2016","Action & Adventure","PG-13",115,89,86,3
"Dodgeball - A True Underdog Story","2004","Comedy","PG-13",92,71,76,-5
"Dolemite Is My Name","2019","Drama","R",118,97,91,6
"Dolittle","2020","Action & Adventure","PG",100,14,76,-62
"Dolphin Tale","2011","Drama","PG",113,81,80,1
"Dom Hemingway","2014","Comedy","R",93,56,38,18
"Domino","2005","Action & Adventure","R",128,18,56,-38
"Don Jon","2013","Comedy","R",89,79,58,21
"Don't Be Afraid Of The Dark","2011","Horror","R",99,60,34,26
"Don't Breathe","2016","Horror","R",88,88,78,10
"Don't Say a Word","2001","Drama","R",113,24,49,-25
"Don't Think Twice","2016","Comedy","R",88,98,69,29
"Don't Worry, He Won't Get Far on Foot","2018","Drama","R",113,76,75,1
"Donnie Darko","2001","Comedy","R",113,86,80,6
"Doom","2005","Action & Adventure","R",104,19,34,-15
"Dope","2015","Comedy","R",103,89,83,6
"Dora and the Lost City of Gold","2019","Action & Adventure","PG",102,85,88,-3
"Double Lover (L'amant double)","2018","Drama","NR",108,70,49,21
"Doubt","2008","Drama","PG-13",104,80,78,2
"Down With Love","2003","Comedy","PG-13",94,60,62,-2
"Down in the Valley","2006","Drama","R",114,52,53,-1
"Downsizing","2017","Comedy","R",135,46,23,23
"Downton Abbey","2019","Drama","PG",122,84,94,-10
"Dr Seuss' The Lorax","2012","Animation","PG",86,54,63,-9
"Dr. Dolittle 2","2001","Comedy","PG",87,42,26,16
"Dr. Seuss' Horton Hears a Who!","2008","Action & Adventure","G",88,79,73,6
"Dr. Seuss' How the Grinch Stole Christmas","2000","Comedy","PG",105,49,56,-7
"Dr. Seuss' The Cat in the Hat","2003","Comedy","PG",82,9,51,-42
"Dr. T and the Women","2000","Comedy","R",121,57,20,37
"Dracula Untold","2014","Action & Adventure","PG-13",92,24,58,-34
"Draft Day","2014","Drama","PG-13",109,59,65,-6
"Drag Me to Hell","2009","Horror","PG-13",99,92,62,30
"Dragged Across Concrete","2019","Action & Adventure","R",159,76,68,8
"Dreamcatcher","2003","Drama","R",131,28,35,-7
"Dreamer: Inspired by a True Story","2005","Drama","PG",98,64,78,-14
"Dreamgirls","2006","Drama","PG-13",131,78,71,7
"Dredd","2012","Action & Adventure","R",96,79,72,7
"Drillbit Taylor","2008","Comedy","PG-13",102,25,44,-19
"Drinking Buddies","2013","Comedy","R",90,83,49,34
"Drive","2011","Action & Adventure","R",100,92,79,13
"Drive Angry","2011","Action & Adventure","R",104,47,37,10
"Driven","2001","Action & Adventure","PG-13",117,14,33,-19
"Due Date","2010","Comedy","R",95,39,52,-13
"Dumb and Dumber To","2014","Comedy","PG-13",109,30,35,-5
"Dumb and Dumberer: When Harry Met Lloyd","2003","Comedy","PG-13",85,10,23,-13
"Dunkirk","2017","Action & Adventure","PG-13",107,92,81,11
"Duplex","2003","Comedy","PG-13",89,35,40,-5
"Duplicity","2009","Drama","PG-13",125,66,37,29
"Déjà Vu","2006","Action & Adventure","PG-13",128,56,73,-17
"Eagle Eye","2008","Drama","PG-13",118,26,62,-36
"Eagle vs Shark","2007","Comedy","R",94,55,67,-12
"Early Man","2018","Animation","PG",89,80,49,31
"Earth to Echo","2014","Action & Adventure","PG",89,50,47,3
"Eastern Promises","2007","Drama","R",100,89,83,6
"Easy A","2010","Comedy","PG-13",93,85,77,8
"Easy Virtue","2009","Comedy","PG-13",96,52,47,5
"Eat Pray Love","2010","Drama","PG-13",140,36,42,-6
"Eddie The Eagle","2016","Drama","PG-13",105,82,82,0
"Edge of Darkness","2010","Drama","R",117,55,49,6
"Eight Below","2006","Action & Adventure","PG",120,73,79,-6
"Eight Legged Freaks","2002","Comedy","PG-13",99,48,32,16
"Eighth Grade","2018","Comedy","R",93,99,82,17
"El Camino: A Breaking Bad Movie","2019","Drama","NR",122,91,81,10
"El Cantante","2007","Drama","R",116,25,63,-38
"Elegy","2008","Drama","R",111,75,61,14
"Elektra","2005","Action & Adventure","PG-13",96,11,29,-18
"Elephant","2003","Drama","R",81,73,79,-6
"Elf","2003","Comedy","PG",97,84,79,5
"Elizabeth: The Golden Age","2007","Drama","PG-13",115,34,59,-25
"Elizabethtown","2005","Comedy","PG-13",123,28,66,-38
"Ella Enchanted","2004","Comedy","PG",101,50,57,-7
"Elvis & Nixon","2016","Comedy","R",86,77,57,20
"Elysium","2013","Drama","R",109,65,58,7
"Embrace Of The Serpent (El Abrazo De La Serpiente)","2016","Action & Adventure","NR",123,96,84,12
"Emma.","2020","Comedy","PG",125,87,72,15
"Empire","2002","Action & Adventure","R",95,21,62,-41
"Enchanted","2007","Comedy","PG",108,93,80,13
"Encounters at the End of the World","2007","Documentary","G",99,94,83,11
"End of Watch","2012","Drama","R",109,85,86,-1
"Ender's Game","2013","Action & Adventure","PG-13",114,62,65,-3
"Enemy at the Gates","2001","Action & Adventure","R",131,53,82,-29
"Enigma","2002","Drama","R",119,72,55,17
"Enough","2002","Drama","PG-13",110,22,67,-45
"Enough Said","2013","Comedy","PG-13",93,95,75,20
"Enron: The Smartest Guys in the Room","2005","Documentary","R",113,97,87,10
"Entourage","2015","Comedy","R",104,33,57,-24
"Envy","2004","Action & Adventure","PG-13",99,8,27,-19
"Epic","2013","Action & Adventure","PG",103,65,65,0
"Equalizer 2","2018","Action & Adventure","R",121,52,61,-9
"Eragon","2006","Action & Adventure","PG",103,16,47,-31
"Erin Brockovich","2000","Comedy","R",131,84,81,3
"Escape Plan","2013","Action & Adventure","R",110,50,55,-5
"Escape Room","2019","Action & Adventure","PG-13",100,51,51,0
"Eternal Sunshine of the Spotless Mind","2004","Comedy","R",108,93,94,-1
"Eurotrip","2003","Comedy","R",89,47,75,-28
"Evan Almighty","2007","Comedy","PG",96,23,52,-29
"Evening","2007","Drama","PG-13",117,27,48,-21
"Everybody Wants Some!!","2016","Comedy","R",116,87,68,19
"Everybody's Fine","2009","Comedy","PG-13",95,48,53,-5
"Everything Must Go","2011","Comedy","R",97,73,53,20
"Everything is Illuminated","2005","Action & Adventure","PG-13",106,67,89,-22
"Everything, Everything","2017","Drama","PG-13",96,45,61,-16
"Evil Dead","2013","Horror","R",91,62,63,-1
"Evolution","2001","Comedy","PG-13",101,43,48,-5
"Ex Machina","2015","Drama","R",107,92,86,6
"Exit Through The Gift Shop","2010","Comedy","R",87,96,91,5
"Exorcist: The Beginning","2004","Drama","R",114,10,27,-17
"Extract","2009","Comedy","R",91,62,38,24
"Extraordinary Measures","2010","Drama","PG",106,29,53,-24
"Extremely Loud & Incredibly Close","2012","Drama","PG-13",129,45,61,-16
"Eye In The Sky","2016","Drama","R",102,95,82,13
"Factory Girl","2007","Drama","R",90,20,60,-40
"Fading Gigolo","2014","Comedy","R",98,54,41,13
"Fahrenheit 11/9","2018","Documentary","NR",128,82,61,21
"Failure to Launch","2006","Comedy","PG-13",97,23,52,-29
"Fame","2009","Drama","PG",107,24,36,-12
"Fantastic Beasts and Where to Find Them","2016","Action & Adventure","PG-13",127,74,79,-5
"Fantastic Beasts: The Crimes of Grindelwald","2018","Action & Adventure","PG-13",134,36,54,-18
"Fantastic Four","2005","Action & Adventure","PG-13",106,27,45,-18
"Fantastic Four: Rise of the Silver Surfer","2007","Action & Adventure","PG",92,37,51,-14
"Fantastic Mr. Fox","2009","Action & Adventure","PG",88,93,85,8
"Fantasy Island","2020","Comedy","PG-13",109,7,48,-41
"Far From Heaven","2003","Drama","PG-13",107,88,80,8
"Fast & Furious","2009","Action & Adventure","PG-13",107,29,67,-38
"Fast & Furious 6","2013","Action & Adventure","PG-13",130,71,84,-13
"Fast & Furious Presents: Hobbs & Shaw","2019","Action & Adventure","PG-13",138,67,88,-21
"Fast Five","2011","Action & Adventure","PG-13",130,77,83,-6
"Fast Food Nation","2006","Comedy","R",116,50,42,8
"Feardotcom","2002","Horror","R",101,3,18,-15
"Feast of Love","2007","Drama","R",102,39,55,-16
"Femme Fatale","2002","Drama","R",110,49,49,0
"Fences","2016","Drama","PG-13",133,92,75,17
"Ferdinand","2017","Animation","PG",108,72,51,21
"Fever Pitch","2005","Comedy","PG-13",103,65,60,5
"Fifty Shades Darker","2017","Drama","R",118,11,48,-37
"Fifty Shades Freed","2018","Drama","R",105,11,37,-26
"Fighting","2009","Action & Adventure","PG-13",105,40,36,4
"Fighting with My Family","2019","Comedy","PG-13",107,92,82,10
"Final Destination 2","2003","Horror","R",90,48,58,-10
"Final Destination 3","2006","Action & Adventure","R",92,43,57,-14
"Final Destination 5","2011","Horror","R",92,62,52,10
"Final Fantasy: The Spirits Within","2001","Animation","PG-13",106,45,48,-3
"Find Me Guilty","2006","Comedy","R",124,62,63,-1
"Finding Dory","2016","Animation","PG",103,94,84,10
"Finding Forrester","2000","Comedy","PG-13",133,74,79,-5
"Finding Nemo","2003","Animation","G",100,99,86,13
"Finding Neverland","2004","Drama","PG",106,83,87,-4
"Fired Up","2009","Comedy","PG-13",89,25,52,-27
"Firewall","2006","Action & Adventure","PG-13",105,18,37,-19
"First Cow","2020","Drama","PG-13",122,96,56,40
"First Love (Hatsukoi)","2019","Action & Adventure","NR",108,97,88,9
"First Man","2018","Drama","PG-13",141,86,67,19
"First Reformed","2018","Drama","R",113,93,68,25
"Fist Fight","2017","Comedy","R",91,24,40,-16
"Five Feet Apart","2019","Drama","PG-13",116,53,79,-26
"Flags of Our Fathers","2006","Action & Adventure","R",132,73,69,4
"Flash of Genius","2008","Drama","PG-13",120,61,55,6
"Flight","2012","Drama","R",138,78,75,3
"Flight of the Phoenix","2004","Action & Adventure","PG-13",112,30,40,-10
"Flightplan","2005","Action & Adventure","PG-13",98,37,48,-11
"Florence Foster Jenkins","2016","Comedy","PG-13",110,87,68,19
"Flushed Away","2006","Animation","PG",85,73,65,8
"Flyboys","2006","Action & Adventure","PG-13",139,33,67,-34
"Food, Inc.","2009","Documentary","PG",94,95,86,9
"Fool's Gold","2008","Action & Adventure","PG-13",112,11,48,-37
"For Colored Girls","2010","Drama","R",134,32,73,-41
"For Your Consideration","2006","Comedy","PG-13",86,52,43,9
"For a Good Time, Call...","2012","Comedy","R",86,57,53,4
"Forgetting Sarah Marshall","2008","Comedy","R",112,83,76,7
"Four Brothers","2005","Action & Adventure","R",108,52,80,-28
"Four Christmases","2008","Comedy","PG-13",88,25,47,-22
"Four Lions","2010","Comedy","R",102,82,80,2
"Foxcatcher","2014","Drama","R",134,87,66,21
"Fracture","2007","Drama","R",113,71,73,-2
"Frailty","2002","Horror","R",99,74,78,-4
"Frances Ha","2013","Comedy","R",85,92,77,15
"Frank","2014","Comedy","R",95,92,72,20
"Frank Miller's Sin City: A Dame to Kill For","2014","Action & Adventure","R",101,43,44,-1
"Frankenweenie","2012","Animation","PG",87,87,70,17
"Fred Claus","2007","Comedy","PG",116,21,45,-24
"Freddy vs. Jason","2003","Horror","R",97,41,50,-9
"Free Fire","2017","Action & Adventure","R",86,69,52,17
"Free Solo","2018","Documentary","PG-13",100,97,93,4
"Free State of Jones","2016","Action & Adventure","R",139,47,64,-17
"Freedom Writers","2007","Drama","PG-13",123,70,87,-17
"Freedomland","2006","Drama","R",113,23,25,-2
"Freeheld","2015","Drama","PG-13",103,48,54,-6
"Frequency","2000","Action & Adventure","PG-13",117,70,81,-11
"Frida","2002","Drama","R",123,75,85,-10
"Friday Night Lights","2004","Action & Adventure","PG-13",117,82,85,-3
"Friends With Benefits","2011","Comedy","R",109,69,65,4
"Friends With Kids","2012","Comedy","R",100,67,49,18
"From Hell","2001","Horror","R",121,57,66,-9
"From Paris with Love","2010","Action & Adventure","R",92,38,54,-16
"Frost/Nixon","2008","Drama","R",122,93,88,5
"Frozen II","2019","Action & Adventure","PG",103,77,92,-15
"Frozen River","2008","Drama","R",96,88,74,14
"Fruitvale Station","2013","Drama","R",85,94,87,7
"Full Frontal","2002","Comedy","R",101,39,27,12
"Fun With Dick and Jane","2005","Comedy","PG-13",90,28,49,-21
"Funny People","2009","Comedy","R",146,69,48,21
"Fur: An Imaginary Portrait of Diane Arbus","2006","Drama","R",122,32,63,-31
"Furious 7","2015","Action & Adventure","PG-13",137,82,82,0
"G-Force","2009","Action & Adventure","PG",88,22,39,-17
"G.I. Joe: Retaliation","2013","Action & Adventure","PG-13",110,28,48,-20
"G.I. Joe: The Rise of Cobra","2009","Action & Adventure","PG-13",118,34,50,-16
"Game Night","2018","Comedy","R",100,85,77,8
"Gangster Squad","2013","Drama","R",110,31,57,-26
"Garden State","2004","Comedy","R",109,86,88,-2
"Garfield - The Movie","2004","Action & Adventure","PG",80,14,37,-23
"Gemini Man","2019","Action & Adventure","PG-13",117,26,83,-57
"Georgia Rule","2007","Comedy","R",113,18,52,-34
"Get Hard","2015","Comedy","R",99,28,45,-17
"Get Him to the Greek","2010","Comedy","R",108,72,62,10
"Get Low","2010","Drama","PG-13",102,85,75,10
"Get On Up","2014","Drama","PG-13",138,80,68,12
"Get Out","2017","Horror","R",104,98,86,12
"Get Rich or Die Tryin'","2005","Drama","R",117,16,70,-54
"Get Smart","2008","Action & Adventure","PG-13",111,50,67,-17
"Getaway","2013","Action & Adventure","PG-13",89,3,35,-32
"Ghost Rider","2007","Action & Adventure","PG-13",110,26,48,-22
"Ghost Rider: Spirit of Vengeance","2012","Action & Adventure","PG-13",96,18,31,-13
"Ghost Ship","2002","Horror","R",91,16,37,-21
"Ghost Stories","2018","Drama","NR",97,84,58,26
"Ghost Town","2008","Comedy","PG-13",103,85,60,25
"Ghost World","2001","Comedy","R",111,93,84,9
"Ghostbusters","2016","Action & Adventure","PG-13",117,74,50,24
"Ghosts of Girlfriends Past","2009","Comedy","PG-13",100,27,40,-13
"Ghosts of the Abyss","2003","Comedy","G",60,80,67,13
"Gifted","2017","Drama","PG-13",101,73,85,-12
"Gigli","2003","Action & Adventure","R",124,6,13,-7
"Gimme Danger","2016","Documentary","R",108,94,70,24
"Ginger & Rosa","2013","Drama","PG-13",90,78,50,28
"Girl With a Pearl Earring","2004","Drama","PG-13",99,72,68,4
"Girls Trip","2017","Comedy","R",122,91,78,13
"Glass","2019","Drama","PG-13",129,37,67,-30
"Gloria Bell","2019","Comedy","R",102,91,46,45
"Glory Road","2006","Drama","PG",117,55,81,-26
"Gnomeo and Juliet","2011","Action & Adventure","G",84,56,54,2
"God Bless America","2012","Comedy","R",107,65,68,-3
"Gods Of Egypt","2016","Action & Adventure","PG-13",121,16,37,-21
"Godsend","2003","Drama","PG-13",102,4,20,-16
"Godzilla: King of the Monsters","2019","Action & Adventure","PG-13",132,43,83,-40
"Gold","2017","Drama","R",120,42,45,-3
"Gone Baby Gone","2007","Drama","R",115,94,86,8
"Gone Girl","2014","Drama","R",149,87,87,0
"Gone in 60 Seconds (Gone in Sixty Seconds)","2000","Action & Adventure","PG-13",117,25,77,-52
"Good Boys","2019","Comedy","R",95,80,86,-6
"Good Luck Chuck","2007","Comedy","R",99,5,57,-52
"Good Night, And Good Luck","2005","Drama","PG",93,93,83,10
"Good Time","2017","Drama","R",101,92,81,11
"Goodbye Christopher Robin","2017","Drama","PG",107,63,71,-8
"Goodbye Solo","2009","Comedy","R",91,94,82,12
"Goodnight Mommy (Ich seh, Ich seh)","2015","Drama","R",100,85,65,20
"Goon","2012","Comedy","R",91,81,71,10
"Goosebumps","2015","Horror","PG",103,78,62,16
"Gosford Park","2001","Comedy","R",137,86,78,8
"Gothika","2003","Horror","R",96,15,45,-30
"Gran Torino","2009","Drama","R",117,81,90,-9
"Grandma","2015","Comedy","R",78,91,67,24
"Gravity","2013","Drama","PG-13",91,96,80,16
"Greed","2020","Comedy","R",104,47,33,14
"Green Book","2018","Drama","PG-13",130,77,91,-14
"Green Lantern","2011","Action & Adventure","PG-13",114,26,45,-19
"Green Room","2016","Horror","R",94,91,75,16
"Green Zone","2010","Drama","R",115,53,57,-4
"Greenberg","2010","Comedy","R",107,76,42,34
"Greta","2019","Drama","R",98,60,42,18
"Gridiron Gang","2006","Action & Adventure","PG-13",120,42,81,-39
"Gringo","2018","Action & Adventure","R",110,40,38,2
"Grizzly Man","2005","Documentary","R",103,92,85,7
"Grown Ups","2010","Comedy","PG-13",102,11,62,-51
"Grown Ups 2","2013","Comedy","PG-13",100,8,53,-45
"Grudge Match","2013","Comedy","PG-13",113,31,46,-15
"Guardians of the Galaxy","2014","Action & Adventure","PG-13",121,91,92,-1
"Guardians of the Galaxy Vol. 2","2017","Action & Adventure","PG-13",135,85,87,-2
"Guess Who","2005","Comedy","PG-13",105,42,49,-7
"Hacksaw Ridge","2016","Action & Adventure","R",139,84,91,-7
"Hail, Caesar!","2016","Comedy","PG-13",106,85,44,41
"Half Nelson","2006","Drama","R",106,90,83,7
"Hall Pass","2011","Comedy","R",106,33,40,-7
"Hamlet 2","2008","Comedy","R",94,62,56,6
"Hancock","2008","Action & Adventure","PG-13",92,41,59,-18
"Hands of Stone","2016","Action & Adventure","R",105,45,52,-7
"Hanna","2011","Action & Adventure","PG-13",111,71,66,5
"Hannah Montana: The Movie","2009","Comedy","G",92,43,67,-24
"Hannibal","2001","Drama","R",131,39,62,-23
"Hannibal Rising","2007","Drama","R",121,16,55,-39
"Hansel and Gretel: Witch Hunters","2013","Action & Adventure","R",88,16,53,-37
"Happy Death Day","2017","Horror","PG-13",96,71,66,5
"Happy Death Day 2U","2019","Horror","PG-13",100,71,58,13
"Happy Feet","2006","Animation","PG",108,76,70,6
"Happy Feet Two","2011","Animation","PG",100,45,60,-15
"Hard Candy","2006","Drama","R",103,67,78,-11
"Hardball","2001","Comedy","PG-13",106,41,70,-29
"Hardcore Henry","2016","Action & Adventure","R",95,51,54,-3
"Harold & Kumar Escape from Guantanamo Bay","2008","Comedy","R",102,52,60,-8
"Harold & Kumar Go to White Castle","2004","Action & Adventure","R",88,74,80,-6
"Harry Potter and the Deathly Hallows - Part 1","2010","Action & Adventure","PG-13",146,77,85,-8
"Harry Potter and the Deathly Hallows - Part 2","2011","Action & Adventure","PG-13",131,96,89,7
"Harry Potter and the Goblet of Fire","2005","Action & Adventure","PG-13",157,88,74,14
"Harry Potter and the Half-Blood Prince","2009","Action & Adventure","PG",153,84,78,6
"Harry Potter and the Order of the Phoenix","2007","Action & Adventure","PG-13",138,78,81,-3
"Harry Potter and the Sorcerer's Stone","2001","Action & Adventure","PG",152,81,82,-1
"Hart's War","2002","Drama","R",128,59,48,11
"Haywire","2012","Action & Adventure","R",92,80,41,39
"He Named Me Malala","2015","Documentary","PG-13",87,72,72,0
"He's Just Not That Into You","2009","Comedy","PG-13",129,42,59,-17
"Head of State","2003","Comedy","PG-13",95,30,47,-17
"Heartbreakers","2001","Comedy","PG-13",123,53,51,2
"Hearts Beat Loud","2018","Comedy","PG-13",97,92,73,19
"Hearts in Atlantis","2001","Drama","PG-13",101,49,64,-15
"Hedwig and the Angry Inch","2001","Comedy","R",95,92,93,-1
"Heights","2005","Drama","R",96,64,74,-10
"Heist","2001","Drama","R",107,66,60,6
"Hell or High Water","2016","Drama","R",97,97,88,9
"Hellboy","2004","Action & Adventure","PG-13",125,81,66,15
"Hellboy II: The Golden Army (Hellboy 2)","2008","Action & Adventure","PG-13",120,86,71,15
"Hello, My Name is Doris","2016","Drama","R",90,85,76,9
"Her","2013","Drama","R",119,95,82,13
"Herbie: Fully Loaded","2005","Comedy","G",100,40,38,2
"Hereafter","2010","Drama","PG-13",129,47,38,9
"Hereditary","2018","Drama","R",127,89,67,22
"Hidalgo","2004","Action & Adventure","PG-13",135,46,64,-18
"Hidden Figures","2017","Drama","PG",127,93,93,0
"High Crimes","2002","Drama","PG-13",115,31,50,-19
"High Fidelity","2000","Comedy","R",113,91,90,1
"High-Rise","2016","Action & Adventure","R",119,60,36,24
"Hit & Run","2012","Action & Adventure","R",95,48,49,-1
"Hitch","2005","Comedy","PG-13",117,69,62,7
"Hitchcock","2012","Drama","PG-13",98,60,60,0
"Hitchcock/Truffaut","2015","Documentary","PG-13",80,96,76,20
"Hitman","2007","Action & Adventure","R",93,15,57,-42
"Hitman: Agent 47","2015","Action & Adventure","R",96,9,40,-31
"Hobo With a Shotgun","2011","Action & Adventure","R",86,66,57,9
"Holes","2003","Action & Adventure","PG",118,78,76,2
"Hollow Man","2000","Action & Adventure","R",113,27,28,-1
"Hollywood Ending","2002","Comedy","PG-13",112,46,49,-3
"Hollywood Homicide","2003","Action & Adventure","PG-13",115,30,27,3
"Hollywoodland","2006","Drama","R",126,68,48,20
"Holy Motors","2012","Drama","NR",116,92,71,21
"Home Again","2017","Comedy","PG-13",97,32,44,-12
"Home on the Range","2004","Animation","PG",75,53,29,24
"Homefront","2013","Action & Adventure","R",100,43,61,-18
"Honey","2003","Drama","PG-13",94,21,71,-50
"Hoodwinked","2005","Animation","PG",81,46,56,-10
"Hop","2011","Comedy","PG",95,24,53,-29
"Horns","2014","Drama","R",121,41,49,-8
"Horrible Bosses","2011","Comedy","R",98,69,70,-1
"Horrible Bosses 2","2014","Comedy","R",108,34,47,-13
"Hostage","2005","Drama","R",113,35,62,-27
"Hostel","2006","Horror","R",95,61,53,8
"Hostel Part II","2007","Horror","R",94,44,39,5
"Hostiles","2018","Action & Adventure","R",133,70,75,-5
"Hot Fuzz","2007","Action & Adventure","R",121,91,89,2
"Hot Rod","2007","Action & Adventure","PG-13",88,39,64,-25
"Hot Tub Time Machine","2010","Comedy","R",99,64,56,8
"Hot Tub Time Machine 2","2015","Comedy","R",93,13,26,-13
